,gameId,storeId,nextvalue,nextdays
0,0000abfc-adee-4720-8a4c-527b71a5ba7d,1,[346.5152],[6.180204]
1,00033528-4d8f-40d1-bd66-3871ec954a1f,1,[106.76503],[12.018543]
2,000740b3-bf5f-4703-9a80-2f2d983eff62,4,[1903.6465],[8.441963]
3,000740b3-bf5f-4703-9a80-2f2d983eff62,2,[1130.1534],[19.665276]
4,000740b3-bf5f-4703-9a80-2f2d983eff62,1,[1017.5629],[15.234282]
5,0009a349-1f59-4ef5-ba92-0e2ed060ea14,1,[218.53212],[15.073063]
6,000e6a4f-e204-40f9-a615-62561d0de7e7,3,[2066.6619],[15.635283]
7,000e6a4f-e204-40f9-a615-62561d0de7e7,1,[1487.7502],[16.536139]
8,001466c8-f179-461c-a491-cfbfe9a6128e,1,[89.44059],[14.810688]
9,00197dc7-7c4e-4b59-84a4-fe7f245e756d,4,[2097.3843],[7.0052476]
10,00197dc7-7c4e-4b59-84a4-fe7f245e756d,2,[1132.813],[12.878605]
11,00197dc7-7c4e-4b59-84a4-fe7f245e756d,1,[1301.9963],[17.509224]
12,001a3213-5a60-4e1d-b4ce-40bc910f93f6,1,[188.18086],[14.191964]
13,001a3573-d47c-4a16-a8fe-bda92c67c16b,1,[197.22852],[7.1697435]
14,00219efa-21b0-4c54-9efd-7b68f2123a87,3,[997.0176],[14.09475]
15,00226d6e-56e6-4527-97c7-6ed8fae711f1,1,[133.67598],[25.656605]
16,0022d77d-65b9-472a-b78e-0534b3546c80,1,[155.42902],[14.918097]
17,0023d7e2-7630-4199-8875-aea5c4d1d560,1,[1369.8162],[10.9489765]
18,00270474-8901-46eb-b450-4af35ac977d6,1,[686.9749],[16.481155]
19,00273b93-5f69-424a-91af-8ce8e335e42a,1,[475.9065],[22.393543]
20,0028bed9-91c4-45e9-8048-0c7f880771c3,4,[3249.2905],[8.409996]
21,0028bed9-91c4-45e9-8048-0c7f880771c3,1,[1162.5077],[16.226467]
22,002cbb2b-649d-4831-97c5-04e93fa36176,3,[407.72076],[18.494902]
23,002cbb2b-649d-4831-97c5-04e93fa36176,1,[115.01276],[8.933428]
24,0030ae60-49b9-4dd1-a277-bddc8f70dd55,1,[893.611],[15.97763]
25,0035c64c-7305-47d9-a58c-49872473125c,2,[197.01442],[23.895374]
26,0035ff1d-2e57-44b0-993e-b821d74df721,1,[83.50279],[15.081807]
27,0037773f-0285-4072-ad41-55374cae163d,2,[249.39389],[24.118244]
28,0037b028-806d-452b-be39-ee77c517ec5f,1,[1132.5638],[5.9771795]
29,00393840-5209-41a7-96c2-3852f8ded1cf,1,[134.77327],[10.02568]
30,003ad881-20b6-4fa7-8416-bb470e04c1d1,4,[501.81424],[6.21832]
31,003ad881-20b6-4fa7-8416-bb470e04c1d1,1,[253.39667],[16.453062]
32,003c00f6-11c6-446c-a3cc-8f30dca470f3,3,[970.94666],[17.888596]
33,003e0fdd-caf0-46fe-8e40-74ae3c157717,4,[3302.3362],[7.339905]
34,003e0fdd-caf0-46fe-8e40-74ae3c157717,3,[2668.0974],[16.359482]
35,004067e2-ea51-41b4-9511-c5ca827f7b30,3,[2047.4688],[21.27664]
36,0041ac47-5da6-4183-8435-5cadb3027a38,1,[347.1169],[6.2541957]
37,0041ac47-5da6-4183-8435-5cadb3027a38,4,[608.634],[7.253504]
38,00428f94-52a8-4e1c-8c53-bd17877e83c2,1,[124.09011],[14.993571]
39,0044c3df-1b5b-4797-864c-abac25da6800,1,[120.35255],[14.204215]
40,00464ddb-82b3-4134-83a0-b49fa59523e7,1,[291.30325],[6.3062553]
41,0046d207-72c0-4691-ac44-64e600f07acf,2,[107.10707],[24.30055]
42,0046d207-72c0-4691-ac44-64e600f07acf,1,[689.9508],[9.0238]
43,00471b64-69b0-4896-a55d-5e148d5c6bc6,1,[297.02206],[20.004755]
44,0047d8bb-7cb9-4fbd-9a72-f35c3cc583c5,1,[1076.5531],[17.548164]
45,0048a532-6631-4889-be69-4e486b0aac1f,3,[651.7804],[19.711557]
46,0048a532-6631-4889-be69-4e486b0aac1f,4,[194.11676],[4.415842]
47,0048a532-6631-4889-be69-4e486b0aac1f,1,[142.48306],[19.541866]
48,004a7620-09fb-424e-869f-65fbee03df81,1,[197.87534],[15.575785]
49,004b4026-6033-4d45-b902-bb715d2328cc,3,[1517.3519],[17.73873]
50,004b4026-6033-4d45-b902-bb715d2328cc,4,[1038.9147],[11.289205]
51,004b4026-6033-4d45-b902-bb715d2328cc,1,[490.34393],[16.732624]
52,004ba78c-81a6-4247-9e65-b9280bfe5819,3,[1697.3125],[16.14764]
53,004ba78c-81a6-4247-9e65-b9280bfe5819,4,[1208.2756],[11.942586]
54,004d9afd-3481-4185-80ec-c9fa389a33da,3,[1091.4663],[20.3798]
55,004db9f8-a82e-4f4a-8da6-1219e7eb292a,1,[132.84288],[11.410308]
56,00529158-3208-4000-8767-adb634bddbd3,3,[96.46193],[20.102743]
57,0055e764-3e72-45e3-a17f-9ba8d351f05f,1,[4361.33],[5.4332256]
58,005b0ce2-5545-4825-a427-5d1f8e9781ef,1,[153.52846],[15.335464]
59,005b2c1b-28b1-4c6f-ae53-5307cab24c59,1,[886.11096],[10.453016]
60,005c7512-ef9b-46bf-989c-7e405feb7759,1,[194.35095],[17.696173]
61,005f3b87-d1fd-4a38-9d7c-94125ca337fd,1,[497.6823],[6.75537]
62,005f77c6-7967-4950-9aa9-ef0338d456c4,1,[598.41895],[11.235305]
63,0065eaea-d514-4475-b4b5-715ec6df8ea7,4,[1796.2994],[6.0014815]
64,0065eaea-d514-4475-b4b5-715ec6df8ea7,1,[387.454],[9.322568]
65,0066406e-6aa8-4fad-9067-943b3460c42b,3,[2364.6956],[15.833709]
66,0066406e-6aa8-4fad-9067-943b3460c42b,1,[2017.7761],[16.629282]
67,006d4aa3-d32d-4c28-906d-d9b427bab78c,1,[383.65668],[8.620202]
68,006f2306-3e3e-4d74-9219-665a6df39a63,1,[417.60437],[5.8779545]
69,00713692-6c9b-455c-9ea5-36078b5107d7,3,[181.188],[19.193321]
70,0072ff68-5daf-4d4c-aaad-445d021842ee,3,[1051.2947],[19.025568]
71,0072ff68-5daf-4d4c-aaad-445d021842ee,1,[302.04062],[11.415475]
72,00732252-ed6c-4e5d-9e62-015389da1731,1,[380.89954],[19.67016]
73,00749c03-f4c4-4ca6-a173-0ce517a312cc,1,[92.84214],[13.497705]
74,0075120b-ee18-4b84-ae1c-a3f3f4b7889b,3,[270.2573],[19.48391]
75,0075120b-ee18-4b84-ae1c-a3f3f4b7889b,1,[135.76244],[17.761368]
76,007eef64-b355-456e-aae3-b052d45150f0,1,[195.66504],[7.1597195]
77,0085b25d-e562-4d7e-8532-5e34af71c016,2,[513.96295],[16.916466]
78,0089a25a-7169-45ab-987c-34541aa21770,1,[1212.0927],[15.90186]
79,0093470a-01a5-44f8-8c70-2185fde958be,1,[178.71025],[14.051142]
80,009fa49b-7f3b-4404-88d9-6b4d0fc14428,1,[604.9017],[16.197224]
81,00a0d019-325a-4d54-bb57-41df960e37c1,1,[186.51039],[17.742489]
82,00a3402a-cdd8-4033-922d-f14c8eed23b3,1,[78.780815],[21.044147]
83,00a44326-7e90-4a36-a37b-80272d1f6d28,1,[151.61792],[10.702015]
84,00a7a1dc-5346-4227-af1b-52f0c997e9a6,1,[418.08472],[5.735183]
85,00a9b57c-fd8f-4df3-9695-6da63e980947,1,[417.64987],[5.8632274]
86,00a9b57c-fd8f-4df3-9695-6da63e980947,4,[1584.6027],[7.893111]
87,00aeb637-5a7f-4263-a08c-eb3594f16cc7,1,[113.94173],[19.96455]
88,00b1d5a1-6be6-4444-848c-fc6e2c508107,3,[95.097115],[14.7534]
89,00b1d5a1-6be6-4444-848c-fc6e2c508107,2,[186.66864],[11.38085]
90,00b30afd-4d61-4c93-8e07-bca2a8f62e40,1,[92.313324],[21.560286]
91,00bdd6a8-c25e-40db-bc5c-baba7fc8a2ea,1,[347.3051],[6.2824445]
92,00bf0a19-af42-473b-9e69-13d1a1849455,4,[853.42566],[6.194216]
93,00bf0a19-af42-473b-9e69-13d1a1849455,2,[435.65897],[22.794487]
94,00bf0a19-af42-473b-9e69-13d1a1849455,1,[503.4985],[10.079142]
95,00bfea40-c6dc-423b-98c7-c0980adb089a,2,[284.16995],[15.375183]
96,00c6cbab-dce6-4247-b7ac-956bb46e2a67,1,[196.90521],[7.258976]
97,00c79b97-5098-4deb-a24f-0ef38d0c053f,2,[3071.5515],[12.889703]
98,00c948d0-c1e0-4dbc-99dc-f672c47d4283,1,[311.26694],[15.35617]
99,00c948d0-c1e0-4dbc-99dc-f672c47d4283,2,[882.4184],[7.780864]
100,00c9c2c6-268f-4d40-91f9-1a012af925f6,1,[154.5104],[7.7978687]
101,00ca66f5-b6ba-443f-86f9-802f96720743,1,[137.44392],[10.248154]
102,00cc1df4-0f6f-4a23-b604-2993df50e12e,1,[144.83644],[16.65184]
103,00d0b01e-75f0-47c2-8331-9d2a6aede150,1,[349.20834],[6.568204]
104,00d10cf6-19e8-4f03-af75-6068c53af0d1,1,[697.53577],[6.9884825]
105,00d3e44f-c8f9-46dd-bb37-13641a5f88f5,1,[100.70074],[13.28863]
106,00d8424d-76e7-4ea0-a335-2fd93cde8625,3,[64.55882],[19.15191]
107,00d8424d-76e7-4ea0-a335-2fd93cde8625,4,[216.5215],[6.686045]
108,00db9202-c2f6-452a-9672-9ea30d09aa49,1,[438.46063],[15.258421]
109,00dc5953-57cf-480f-87e8-e9871b2b038f,4,[3809.76],[10.591036]
110,00dc5953-57cf-480f-87e8-e9871b2b038f,1,[2763.943],[17.084778]
111,00de0b6b-5ad8-42e8-a9f2-19393c6c5371,1,[712.8307],[15.326739]
112,00e0adb6-256a-4e71-87da-54e71a9c72db,1,[161.50351],[7.4255133]
113,00e143b3-174d-4b12-b129-7ab68a994053,3,[2716.8718],[16.13048]
114,00e143b3-174d-4b12-b129-7ab68a994053,4,[1113.7483],[14.682438]
115,00e143b3-174d-4b12-b129-7ab68a994053,1,[540.5864],[18.904257]
116,00e1bd9a-a583-469f-a16b-eeb02c1ff5d5,1,[541.9223],[17.550888]
117,00e42bf8-d4be-4329-9e43-c69837ecde58,1,[144.9298],[17.22026]
118,00e78a18-927c-429c-bb8f-651fc2c601ec,3,[67.24938],[21.302969]
119,00e814f9-8380-4d50-8aae-ce5ec914a45f,1,[230.89749],[18.771809]
120,00e814f9-8380-4d50-8aae-ce5ec914a45f,3,[133.05862],[17.45712]
121,00e8e024-a040-4d68-b21e-8f1548294b08,4,[442.19946],[6.9320755]
122,00e8e024-a040-4d68-b21e-8f1548294b08,1,[255.3684],[17.61632]
123,00ecfb8d-44ef-451b-a178-d84220b10aa3,1,[150.2482],[13.939669]
124,00ed65ed-8c05-48c9-ad81-1b24c17d434f,1,[297.01993],[15.982669]
125,00ee1308-03cd-4742-95f5-0c98168e4cb6,1,[120.65623],[13.841116]
126,00f419a3-1748-4091-af1d-87284a58360e,1,[490.5598],[6.1770716]
127,00f559d6-245d-4925-938a-570637b61d38,4,[2828.7166],[13.3737]
128,00f559d6-245d-4925-938a-570637b61d38,3,[2252.24],[18.441223]
129,00f5669a-51f8-4199-bacf-84150a48d19d,1,[381.15915],[14.901018]
130,00f7ce2d-38e5-40d2-a0ee-16d39555c9df,1,[157.59709],[7.212508]
131,00f806e6-73ad-4050-9d8c-10ca5440db16,1,[602.57684],[14.948851]
132,00fad512-c871-494a-b53b-80bbc7011e71,1,[281.2893],[20.115536]
133,00fc19f6-56cc-40cc-8513-8a00d13d2d0c,1,[638.00494],[14.948711]
134,00fe1812-0d36-430e-865b-402c36039cbb,1,[332.31705],[9.893726]
135,0100980d-d1cd-4375-97f7-cec1b37b585a,2,[614.3991],[15.382244]
136,0100980d-d1cd-4375-97f7-cec1b37b585a,4,[1255.9282],[7.969079]
137,0100980d-d1cd-4375-97f7-cec1b37b585a,1,[297.63672],[21.442293]
138,0101c308-b779-40a6-b5b6-e6e439252cff,4,[1732.1332],[6.224139]
139,0101c308-b779-40a6-b5b6-e6e439252cff,1,[572.6247],[15.800932]
140,0106255a-9057-4c2e-b712-c10f9a7a1267,1,[144.17719],[11.22107]
141,0107216d-90ed-4618-aec7-dea57b470dbb,1,[383.97552],[9.829285]
142,01112b8f-94df-4631-afeb-4b6e6307a0ba,1,[164.70256],[14.387678]
143,0112f3d7-1d16-4be1-a51e-be5480c745db,1,[325.66104],[17.551933]
144,01147d68-f0cc-4f07-b5ab-a2e7822d05ff,4,[2399.1433],[8.271971]
145,01147d68-f0cc-4f07-b5ab-a2e7822d05ff,2,[783.0653],[19.565985]
146,01147d68-f0cc-4f07-b5ab-a2e7822d05ff,1,[544.6057],[15.9431505]
147,01162a46-2a18-4c23-82fd-ca17321da16c,1,[133.72446],[9.805616]
148,0116a2d3-98d9-42ff-9428-893f9f377bd5,4,[99.466034],[8.959942]
149,0116a2d3-98d9-42ff-9428-893f9f377bd5,3,[59.11477],[15.322514]
150,012072f8-3c18-44f5-a5da-615e0d1b0a7c,3,[91.59393],[19.956148]
151,01213915-8aa9-434f-b7fe-10402d74ea00,3,[1056.7314],[25.250803]
152,01213dc9-e077-4ed5-ba4e-e69402c4360b,4,[1176.834],[8.230108]
153,01213dc9-e077-4ed5-ba4e-e69402c4360b,3,[471.69324],[19.88832]
154,01222715-a2b8-4d3a-b7d7-f9625f43464e,1,[288.99655],[6.339995]
155,0124d794-ba6a-45da-8b52-f2cc9ea7b21f,3,[1634.6809],[17.37695]
156,0124d794-ba6a-45da-8b52-f2cc9ea7b21f,4,[1148.4253],[10.409048]
157,0124d794-ba6a-45da-8b52-f2cc9ea7b21f,1,[528.81793],[23.66403]
158,012eb2db-f57a-4599-9ace-5a2beac37c05,4,[1973.335],[8.010311]
159,012eb2db-f57a-4599-9ace-5a2beac37c05,3,[518.05414],[16.862034]
160,0130d81c-ddbb-4675-ae58-ecd055a096e2,3,[683.56116],[18.372177]
161,0130d81c-ddbb-4675-ae58-ecd055a096e2,4,[774.1436],[6.547251]
162,0130d81c-ddbb-4675-ae58-ecd055a096e2,1,[417.56934],[15.383534]
163,01348881-82d1-4e2d-8112-0bb6e36a4995,1,[138.33284],[10.594308]
164,0137aded-1da8-4ab6-a136-f0686fc6c7bc,1,[222.95241],[7.286416]
165,0138d739-44f3-48ca-af24-3f274bd097af,3,[1693.791],[16.202797]
166,01393da3-b62d-425d-a558-ad8ab8a79bdf,1,[552.876],[14.098714]
167,013affd2-3c43-48da-9b08-e9fb0aa18d1a,1,[241.7004],[10.341933]
168,013ffc27-37d4-4653-ab48-7e8f625f0724,3,[1215.1044],[17.311419]
169,013ffc27-37d4-4653-ab48-7e8f625f0724,4,[1497.3279],[7.547791]
170,013ffc27-37d4-4653-ab48-7e8f625f0724,1,[366.87344],[10.753513]
171,01432dc9-2927-4079-a8bf-0014c83b0aca,1,[96.98024],[16.61842]
172,0146133b-d407-413f-ba8e-0f2c61bc493e,1,[127.322105],[16.555233]
173,014731af-0a00-4f35-9488-88c4ee6e6543,1,[100.81039],[16.842821]
174,0149ccb3-a763-4994-b274-a18fee87effc,1,[566.90106],[6.808408]
175,014bcc00-5885-4709-bbab-18d33e295538,1,[1283.6412],[18.83765]
176,014cf41b-2294-4317-a37f-16f391b2ee3c,1,[555.96814],[5.940054]
177,014ec27d-8bd6-4af8-a7a4-22a7b0d38820,1,[634.4962],[15.339298]
178,014fc166-943b-4bc4-8c18-f36b010005be,1,[145.92874],[15.06289]
179,01501d68-f5f4-4342-aacb-325c5b33f9b7,1,[167.01022],[10.473635]
180,0151a75b-992e-4157-b117-e3444fb73dec,1,[257.04718],[14.675785]
181,0155c056-7bf2-462a-b916-c1f5803acb28,1,[1076.5531],[17.548164]
182,0156b3cd-1d0e-4526-a10c-4e4718a0305c,1,[873.04175],[6.1835623]
183,015e097f-84c2-4b1b-9c29-8b957dd722df,3,[99.33884],[18.283382]
184,015e924a-0d5e-4e35-a8c2-fcd006661de6,1,[2485.2034],[21.696857]
185,015e924a-0d5e-4e35-a8c2-fcd006661de6,4,[3463.397],[6.7088556]
186,015f1462-c384-4444-a0dd-40e41d40f5b2,3,[658.16473],[18.277739]
187,016b47ad-8da0-4b8b-b040-0f3603b53316,3,[663.6746],[18.843367]
188,016b47ad-8da0-4b8b-b040-0f3603b53316,1,[372.27124],[18.075878]
189,016c1740-362a-424b-b3a4-2e30f33b95f8,1,[316.64462],[16.206642]
190,016e0990-f5ef-435a-a317-2a061877efcc,1,[359.57568],[6.8788853]
191,01703fdb-a6c3-4372-85f2-ebc09217b903,3,[189.69228],[19.185705]
192,01703fdb-a6c3-4372-85f2-ebc09217b903,4,[282.73114],[2.9701414]
193,017084a4-bcac-4a1d-bddb-3a996b48da3d,1,[1189.1272],[18.088306]
194,0171bdf4-62b9-4d84-9114-d4eca6672046,1,[197.6532],[15.991249]
195,01722da9-f981-4dd0-8923-36c3eb581154,1,[1471.1692],[13.921134]
196,01741d5b-f73c-4699-86d9-6b3b0885e0fd,1,[1902.3506],[5.432125]
197,017459ca-b075-4bf1-891d-00a08e8ad7fa,1,[253.37169],[19.16086]
198,017545ce-e9d6-495d-8f46-9d281aac79f9,1,[1132.1218],[7.8540645]
199,0175bf24-3009-4c8f-8caf-50983b31a2d1,1,[96.84467],[14.646451]
200,01797522-421e-4f17-806c-eee0adc246a4,1,[132.06683],[9.621246]
201,0179ba84-0c98-4df4-baac-57dd96bb0da0,1,[2348.639],[19.11605]
202,017dd769-a8f6-4130-acb1-e51ce4244033,4,[706.05945],[6.76279]
203,017dd769-a8f6-4130-acb1-e51ce4244033,3,[245.05888],[19.69793]
204,017f7a22-c1dc-4443-9808-72edc8df649b,1,[143.49753],[9.681598]
205,01856afa-06eb-490f-8814-52c156cb3282,3,[963.5805],[17.761768]
206,01856afa-06eb-490f-8814-52c156cb3282,1,[390.24866],[15.134902]
207,0187096f-b55c-485f-8868-8ce60ff0f502,3,[416.39316],[15.671213]
208,0187096f-b55c-485f-8868-8ce60ff0f502,4,[1389.3528],[7.090723]
209,0187496e-88e9-4a46-aa71-ffcf736c2bb4,1,[204.46846],[22.405207]
210,01874a68-d046-4d03-9115-1127dc0f37e6,4,[1014.3231],[7.4448314]
211,01874a68-d046-4d03-9115-1127dc0f37e6,3,[960.4734],[11.918581]
212,01893d5e-29cf-464d-b9f3-281ad44ec094,1,[319.10605],[14.453948]
213,018a6d9a-0623-4e1c-8b4c-7075cff8dfd9,1,[139.36194],[15.813188]
214,018d0b72-edad-45f1-a4e1-3e7b68005535,1,[303.84967],[9.751319]
215,01955b91-cdfe-4aa2-b8d2-f6c54d55d874,4,[1261.5122],[7.6734476]
216,01955b91-cdfe-4aa2-b8d2-f6c54d55d874,2,[284.1182],[19.31587]
217,01955b91-cdfe-4aa2-b8d2-f6c54d55d874,1,[338.0871],[16.094997]
218,01979d91-ee67-4fd8-96e5-748398e47208,1,[179.61685],[10.900598]
219,019d7e80-79c6-4660-be0f-74b4da9202fc,4,[745.65515],[6.8706923]
220,019d7e80-79c6-4660-be0f-74b4da9202fc,3,[312.8042],[20.970945]
221,019d7e80-79c6-4660-be0f-74b4da9202fc,1,[426.0008],[16.419455]
222,01a14dcb-42f2-476c-b388-2de7a70d8807,1,[480.42285],[22.974842]
223,01a2dd8f-a132-4e2e-92b9-c6f0ebb44437,1,[703.45447],[7.2687263]
224,01a32c25-4d8a-4631-9110-338763ad6e46,1,[533.20416],[16.258307]
225,01a51ff2-dba5-4449-b0d3-e2f49d9e3342,3,[296.68677],[20.421661]
226,01a51ff2-dba5-4449-b0d3-e2f49d9e3342,4,[211.50923],[9.093458]
227,01a51ff2-dba5-4449-b0d3-e2f49d9e3342,2,[118.17305],[23.626345]
228,01a51ff2-dba5-4449-b0d3-e2f49d9e3342,1,[175.97523],[18.09045]
229,01a5e47d-191c-4d94-9582-f6d1bfa81318,1,[689.6267],[16.410738]
230,01ac682a-5172-4a77-84e4-fc4b49b8adc4,3,[3751.661],[13.25591]
231,01ac9223-80cc-45eb-afff-d7c72f78d5e6,2,[88.63356],[17.4706]
232,01af4887-6154-4d80-a12c-78bdff47e845,4,[933.19305],[13.172456]
233,01af4887-6154-4d80-a12c-78bdff47e845,3,[214.70227],[17.98627]
234,01b59a68-1d98-4eac-8a2e-ea209878cbd4,1,[192.66434],[13.211717]
235,01b73c95-06fd-4bd6-b4d1-a34247d6ec74,1,[109.97156],[14.639557]
236,01b75eea-b2b6-424f-aa17-462ab2148e15,1,[168.28995],[8.918496]
237,01b77a7a-2990-42dd-9c02-581dc549d0c6,1,[344.20026],[5.994905]
238,01b77a7a-2990-42dd-9c02-581dc549d0c6,4,[1973.6321],[8.013571]
239,01b7891d-2c12-4233-adbb-5e1a5f291ae2,2,[1031.014],[19.361649]
240,01b96f75-2c93-4fd2-862b-b2631646520f,1,[842.03827],[12.547859]
241,01bb446f-f7c2-4529-aeca-8c3a1da6ee70,1,[1636.9293],[18.928684]
242,01bb50d8-e68b-43ac-ada0-68e293ab868e,1,[156.65283],[11.051296]
243,01bbc6e2-151e-4635-97cb-7f98ada2722b,1,[142.88087],[14.230395]
244,01bcc233-c8fa-4b8f-b2fe-483266f0f1ef,2,[607.4191],[14.757139]
245,01bcc233-c8fa-4b8f-b2fe-483266f0f1ef,3,[633.24695],[18.960966]
246,01bcc233-c8fa-4b8f-b2fe-483266f0f1ef,4,[1257.1608],[7.9626813]
247,01bcc233-c8fa-4b8f-b2fe-483266f0f1ef,1,[165.15477],[22.723564]
248,01bcede7-b9f9-433c-bfab-6d89f3546db8,1,[3102.1792],[15.565423]
249,01bcede7-b9f9-433c-bfab-6d89f3546db8,3,[3268.0308],[11.867781]
250,01bcede7-b9f9-433c-bfab-6d89f3546db8,4,[4063.5906],[11.005465]
251,01bdbc47-b53b-474a-ae02-918cfbc9ee4c,1,[98.229485],[12.970579]
252,01c03619-8e03-46b5-8b67-8dba91328c45,1,[1096.3812],[15.283094]
