"gameId","id","date","value","rating","storeId","releasedate","minvalue","maxvalue","beforedate","beforevalue","nextdate","nextvalue"
"2930a65a-eb04-46df-91a1-3a4d15fada95",6,2019-02-19,399,0.00,1,2018-01-31,49,499,2019-02-12,499,,
"293170cf-c697-4106-a279-7a80496d5b54",3,2019-01-04,699,0.50,1,2014-07-04,139,699,2018-12-21,139,,
"293170cf-c697-4106-a279-7a80496d5b54",3,2019-01-11,699,0.50,3,2014-07-04,140,699,2018-12-19,140,,
"2933e164-10b8-453f-8fae-89114ec0d20c",5,2019-02-12,999,0.00,1,2018-01-19,349,999,2019-02-05,549,,
"29344e82-b962-45fa-8472-2fc0cc800fbe",2,2019-02-06,699,0,1,2019-01-28,594,699,2019-01-29,594,,
"29359c72-269f-4d5b-a49d-4b70360e2f1c",5,2019-02-12,999,0.73,1,2007-03-30,99,999,2019-02-05,149,,
"2937118e-1001-435c-95f8-ee91b1b0a8e2",2,2019-01-25,599,0.10,4,2017-02-17,299,599,2019-01-22,299,,
"2937118e-1001-435c-95f8-ee91b1b0a8e2",7,2019-02-12,599,0.10,1,2017-02-17,299,599,2019-02-05,299,,
"29377746-9bdd-4c59-be98-a109d7e10bef",1,2018-12-17,1799,0.10,1,2015-06-01,1799,1799,2018-12-17,1799,,
"293a880c-21c2-4eb8-9806-59ba7d3e7a07",2,2019-01-25,999,0.32,4,2012-12-18,199,999,2019-01-22,199,,
"293a880c-21c2-4eb8-9806-59ba7d3e7a07",3,2019-01-04,999,0.32,2,2012-12-18,99,999,2018-12-14,99,,
"293a880c-21c2-4eb8-9806-59ba7d3e7a07",5,2019-02-12,999,0.32,1,2012-12-18,499,999,2019-02-05,499,,
"2941743f-e9f8-4c17-9bdc-6069b7f2dac1",1,2018-12-18,99,0.00,1,2017-12-26,99,99,2018-12-18,99,,
"29436f23-f827-41b5-bef5-1eff652fe0fd",4,2019-01-11,399,0.00,1,2018-07-15,49,399,2019-01-04,99,,
"29476570-cd51-452e-9066-480b9762ebda",7,2019-02-12,999,0.00,1,2018-06-15,499,999,2019-02-05,499,,
"294e1918-02b9-41be-8f77-aad4b85444f4",5,2019-02-13,999,0.37,1,2009-07-14,499,999,2019-02-05,499,,
"294e1918-02b9-41be-8f77-aad4b85444f4",5,2019-02-03,599,0.37,2,2009-07-14,149,599,2019-01-31,149,,
"29516f9c-432f-4c4f-a074-b2c0230dd9c7",1,2018-12-17,199,0.00,1,2015-02-17,199,199,2018-12-17,199,,
"295b15de-b94c-47d7-b3c3-9a0b65d688a3",7,2019-02-11,699,0.10,1,2017-08-24,132,699,2019-02-04,412,,
"2960ae3e-a445-4594-ad99-951e46ad0b19",3,2019-01-04,199,0.10,1,2016-01-21,49,199,2018-12-21,49,,
"2966ff93-1ece-404d-bbbb-544844dfc69d",1,2018-12-17,1199,0.10,1,2016-12-23,1199,1199,2018-12-17,1199,,
"29682c25-4299-4f57-af43-74fff59bab62",5,2019-02-12,99,0.10,1,2016-08-05,49,99,2019-02-05,49,,
"296990d6-e641-4026-babc-b5052413ff14",7,2019-02-12,99,0.00,1,2018-03-27,49,99,2019-02-05,49,,
"296ae538-23c3-40a5-b85b-8c1eb803534b",1,2018-12-09,199,0.00,3,2011-04-26,199,199,2018-12-09,199,,
"296dfbda-4487-4695-92e8-e589a260264b",5,2019-02-12,699,0.00,1,2018-06-28,419,699,2019-02-05,524,,
"2972b3e0-fc54-4a02-bad5-ae33cc09cab1",6,2019-02-11,99,0.10,1,2017-12-11,74,99,2019-02-05,89,,
"2975c487-e311-439a-937f-ea2e9101b858",2,2019-01-25,2999,0.87,4,2016-05-12,1499,2999,2019-01-23,1499,,
"2975c487-e311-439a-937f-ea2e9101b858",3,2019-01-04,2999,0.87,1,2016-05-12,1499,2999,2018-12-21,1499,,
"2975c487-e311-439a-937f-ea2e9101b858",3,2019-01-05,2999,0.87,3,2016-05-12,1500,2999,2018-12-22,1500,,
"2976af40-3c62-4ca6-94a7-209c84d25b96",1,2018-12-18,1999,0.00,1,2018-02-28,1999,1999,2018-12-18,1999,,
